id_aviso,banos,estacionamientos,dormitorios,antiguedad_anos,condominio_cerrado,distancia_centro_comuna_m,distancia_centro_concepcion_m,cantidad_paraderos,cantidad_jardines_infantiles,cantidad_colegios,cantidad_universidades,cantidad_plazas,cantidad_supermercados,cantidad_farmacias,cantidad_centros_comerciales,cantidad_hospitales,cantidad_clinicas,cantidad_estaciones_metro,superficie_total_m2,superficie_util_m2,bodegas,gastos_comunes,estacionamiento_visitas,piscina,quincho,conserjeria,ascensor,piso_unidad,rank_nac,c_ig_com,c_ig_reg,c_ig_nac,pob_rsh_uv,hog_uv,p_urbano,precio_clp,nivel_barrio,precio_m2_sector_departamento,tiene_comparables_cercanos,comuna_otras comunas,comuna_san-pedro-de-la-paz-biobio,amoblado,ratio_total_util
MLC-4016769016,2.0,1.0,3,10,True,3792.9,3792.9,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,72.0,68.0,0,88000.0,1,1.0,0.0,1.0,1.0,1.0,6684.0,4.0,4.0,4.0,6833.0,3079.0,90.5171296845883,560000.0,1,11428.57142857143,True,False,False,0,1.0588235294117647
MLC-4116007300,1.0,0.0,1,0,True,2687.4,2687.4,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,37.6,0,35000.0,0,0.0,0.0,1.0,1.0,1.0,6304.0,3.0,4.0,4.0,4026.0,2134.0,100.00000000000003,330000.0,1,9787.234042553191,True,False,False,0,0.8776595744680851
MLC-4047532952,1.0,1.0,2,0,True,2744.4,2744.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,0,0.0,1,1.0,0.0,1.0,0.0,5.0,5901.0,2.0,4.0,4.0,3835.0,2050.0,58.617333955047656,420000.0,4,8956.639566395665,True,False,False,0,1.0
MLC-1984835781,2.0,1.0,3,9,False,5003.1,5003.1,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,71.6,70.0,1,0.0,0,0.0,0.0,0.0,1.0,1.0,6282.0,3.0,4.0,4.0,12506.0,6078.0,99.99999999999994,650000.0,4,10000.0,True,False,False,0,1.0228571428571427
MLC-2031486095,1.0,1.0,2,6,False,1239.9,1239.9,5.0,5.0,3.0,2.0,1.0,2.0,2.0,0.0,1.0,4.0,0.0,48.0,48.0,0,30000.0,0,0.0,0.0,0.0,0.0,2.0,6382.0,3.0,4.0,4.0,2472.0,1579.0,44.747797054366714,490000.0,4,10750.0,True,False,False,0,1.0
MLC-4101801572,2.0,1.0,3,20,False,1366.0,1366.0,5.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,3.0,4.0,0.0,80.0,80.0,1,160000.0,0,0.0,0.0,1.0,1.0,8.0,6382.0,3.0,4.0,4.0,2472.0,1579.0,44.747797054366714,650000.0,4,10208.333333333334,True,False,False,0,1.0
MLC-1983398137,1.0,0.0,1,5,True,1334.9,1334.9,5.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0,55000.0,0,0.0,0.0,1.0,1.0,5.0,6691.0,4.0,4.0,4.0,2810.0,1764.0,99.99999999999997,370000.0,4,11052.631578947368,True,False,False,0,1.0
MLC-4038958032,1.0,1.0,1,5,False,3388.0,3388.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,0,52000.0,0,0.0,0.0,0.0,0.0,1.0,6684.0,4.0,4.0,4.0,6833.0,3079.0,90.5171296845883,390000.0,1,10137.45704467354,False,False,False,0,1.0
MLC-4096145068,3.0,1.0,3,16,True,3659.9,3659.9,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,89.0,84.0,1,250000.0,0,0.0,0.0,1.0,1.0,1.0,6684.0,4.0,4.0,4.0,6833.0,3079.0,90.5171296845883,1100000.0,1,10666.666666666666,True,False,False,0,1.0595238095238095
MLC-4021116806,1.0,0.0,1,4,True,4859.9,4859.9,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,34.0,0,90000.0,0,0.0,0.0,0.0,0.0,1.0,6282.0,3.0,4.0,4.0,12506.0,6078.0,99.99999999999994,390000.0,4,10397.058823529413,True,False,False,0,1.2058823529411764
