,id_aviso,banos,estacionamientos,dormitorios,antiguedad_anos,condominio_cerrado,distancia_centro_comuna_m,distancia_centro_concepcion_m,cantidad_paraderos,cantidad_jardines_infantiles,cantidad_colegios,cantidad_universidades,cantidad_plazas,cantidad_supermercados,cantidad_farmacias,cantidad_centros_comerciales,cantidad_hospitales,cantidad_clinicas,cantidad_estaciones_metro,superficie_total_m2,superficie_util_m2,bodegas,gastos_comunes,estacionamiento_visitas,piscina,quincho,conserjeria,ascensor,piso_unidad,rank_nac,c_ig_com,c_ig_reg,c_ig_nac,pob_rsh_uv,hog_uv,p_urbano,precio_clp,nivel_barrio,precio_m2_sector_casa,precio_m2_sector_departamento,tiene_comparables_cercanos,tipo_propiedad_departamento,comuna_otras comunas,comuna_san-pedro-de-la-paz-biobio,amoblado,ratio_total_util
84,MLC-4118642340,3.0,2.0,4,36,False,826.0,826.0,5.0,5.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,140.0,140.0,0.0,210.0,0,0.0,0.0,1.0,1.0,5.0,6768.0,4.0,4.0,4.0,1656.0,1111.0,99.99999999999999,1200000.0,1,7791.327913279132,10607.23353412655,True,True,False,False,0,1.0
85,MLC-2017191645,1.0,0.0,1,29,True,861.7,861.7,5.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,32.0,37.9,0.0,20.0,0,0.0,0.0,0.0,0.0,1.0,5492.0,1.0,4.0,4.0,2073.0,1418.0,100.00000000000001,400000.0,1,7791.327913279132,11000.0,True,True,False,False,0,0.8443271767810027
86,MLC-2020551433,1.0,0.0,1,8,False,905.6,905.6,5.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,40.0,33.0,1.0,85.0,0,1.0,0.0,1.0,0.0,5.0,5492.0,1.0,4.0,4.0,2073.0,1418.0,100.00000000000001,390000.0,1,7791.327913279132,11000.0,True,True,False,False,0,1.2121212121212122
87,MLC-2020098007,1.0,0.0,1,36,False,916.8,916.8,5.0,5.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,0.0,56.0,56.0,0.0,15.0,0,0.0,0.0,0.0,0.0,3.0,5492.0,1.0,4.0,4.0,2073.0,1418.0,100.00000000000001,550000.0,1,7791.327913279132,10697.67441860465,True,True,False,False,1,1.0
88,MLC-4120943982,2.0,0.0,2,4,True,1141.4,1141.4,5.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,45.0,1.0,40.0,0,0.0,0.0,1.0,0.0,7.0,5752.0,2.0,4.0,4.0,3137.0,1789.0,100.0,380000.0,2,7791.327913279132,10666.666666666666,True,True,False,False,0,1.0444444444444445
89,MLC-4112422264,2.0,0.0,3,0,True,2177.3,2177.3,5.0,2.0,4.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,75.0,73.0,0.0,90.0,0,0.0,0.0,1.0,1.0,6.0,6715.0,4.0,4.0,4.0,2440.0,1484.0,100.0,550000.0,3,7791.327913279132,7758.620689655172,True,True,False,False,0,1.0273972602739727
90,MLC-4139252126,2.0,1.0,2,0,True,1591.2,1591.2,4.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,100.0,0,0.0,0.0,0.0,0.0,1.0,5924.0,2.0,4.0,4.0,3532.0,1915.0,99.99999999999997,850000.0,3,7791.327913279132,10408.276628246078,True,True,False,False,0,1.0
91,MLC-2041086295,2.0,1.0,2,11,True,610.9,610.9,5.0,5.0,2.0,5.0,3.0,2.0,5.0,2.0,0.0,5.0,0.0,58.0,58.0,1.0,80.0,0,0.0,0.0,0.0,1.0,7.0,6768.0,4.0,4.0,4.0,1656.0,1111.0,99.99999999999999,580000.0,1,7791.327913279132,10222.222222222223,True,True,False,False,0,1.0
92,MLC-4112422386,1.0,0.0,1,3,False,1550.7,1550.7,5.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,32.0,37.9,0.0,35.0,0,0.0,0.0,1.0,0.0,1.0,6382.0,3.0,4.0,4.0,2472.0,1579.0,44.747797054366714,500000.0,3,7791.327913279132,11111.111111111111,True,True,False,False,0,0.8443271767810027
93,MLC-4128149222,2.0,1.0,2,12,True,825.4,825.4,5.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,57.0,59.0,1.0,125.0,0,0.0,0.0,1.0,1.0,24.0,5492.0,1.0,4.0,4.0,2073.0,1418.0,100.00000000000001,550000.0,1,7791.327913279132,11000.0,True,True,False,False,0,0.9661016949152542
