id_aviso,banos,estacionamientos,dormitorios,antiguedad_anos,condominio_cerrado,distancia_centro_comuna_m,distancia_centro_concepcion_m,cantidad_paraderos,cantidad_jardines_infantiles,cantidad_colegios,cantidad_universidades,cantidad_plazas,cantidad_supermercados,cantidad_farmacias,cantidad_centros_comerciales,cantidad_hospitales,cantidad_clinicas,cantidad_estaciones_metro,superficie_total_m2,superficie_util_m2,bodegas,gastos_comunes,estacionamiento_visitas,piscina,quincho,conserjeria,ascensor,piso_unidad,rank_nac,c_ig_com,pob_rsh_uv,hog_uv,p_urbano,precio_clp,costo_total_clp,nivel_barrio,precio_m2_sector_departamento,tiene_comparables_cercanos,comuna_otras comunas,comuna_san-pedro-de-la-paz-biobio,amoblado,ratio_total_util
MLC-4191769766,1.0,1,2,8,True,4610.8,4610.8,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,61.0,55.0,0.0,50000.0,1.0,0.0,0.0,1.0,0.0,1.0,6409.0,4.0,6576.0,3080.0,94.3101149608368,410000.0,460000.0,0,9433.962264150943,True,False,False,0,1.1090909090909091
MLC-2016434407,2.0,1,3,0,False,4915.3,4915.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,68.0,0.0,90000.0,0.0,1.0,0.0,1.0,1.0,1.0,6684.0,4.0,6833.0,3079.0,90.5171296845883,560000.0,650000.0,4,10285.714285714286,True,False,False,0,1.0588235294117647
MLC-4233323298,1.0,0,1,5,False,614.5,614.5,5.0,5.0,1.0,5.0,0.0,1.0,5.0,2.0,0.0,5.0,0.0,42.0,42.0,0.0,55000.0,0.0,0.0,0.0,1.0,1.0,18.0,6768.0,4.0,1656.0,1111.0,100.0,500000.0,555000.0,2,11718.75,True,False,False,1,1.0
MLC-2016676681,1.0,1,1,8,True,1033.7,5098.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,0.0,89000.0,0.0,0.0,0.0,1.0,0.0,2.0,4433.0,3.0,20174.0,9883.0,82.4572189855629,550000.0,639000.0,4,10477.272727272728,True,False,True,0,1.0
MLC-2064055437,1.0,0,1,14,True,751.5,751.5,5.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,5.0,0.0,42.0,40.0,1.0,70000.0,0.0,0.0,0.0,1.0,1.0,18.0,6768.0,4.0,1656.0,1111.0,100.0,430000.0,500000.0,2,11777.777777777777,True,False,False,0,1.05
MLC-4234025980,1.0,1,1,0,True,598.4,598.4,5.0,5.0,1.0,5.0,0.0,1.0,5.0,2.0,0.0,5.0,0.0,40.1,38.0,0.0,80000.0,1.0,0.0,0.0,0.0,1.0,12.0,6768.0,4.0,1656.0,1111.0,100.0,469999.0,549999.0,2,11777.777777777777,True,False,False,0,1.055263157894737
MLC-4234257110,2.0,0,2,0,True,758.0,758.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,0.0,50000.0,0.0,0.0,0.0,1.0,1.0,1.0,4644.0,1.0,2739.0,1645.0,100.0,600000.0,650000.0,2,11247.208931419456,True,False,False,0,1.0
MLC-2018144467,1.0,0,1,0,False,813.7,813.7,5.0,4.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,5.0,0.0,33.1,37.9,0.0,55000.0,0.0,0.0,0.0,1.0,1.0,1.0,6768.0,4.0,1656.0,1111.0,100.0,330000.0,385000.0,2,11944.444444444445,True,False,False,0,0.8733509234828497
MLC-4230663614,2.0,0,2,17,False,402.6,402.6,5.0,5.0,5.0,3.0,2.0,4.0,5.0,2.0,0.0,3.0,0.0,64.0,64.0,0.0,65000.0,0.0,0.0,0.0,1.0,1.0,1.0,3511.0,1.0,1254.0,785.0,100.0,470000.0,535000.0,2,11508.333333333332,True,False,False,0,1.0
MLC-2018146297,2.0,1,2,10,True,3788.9,7920.5,5.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,62.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1859.0,2.0,27535.0,12357.0,68.1398650783455,500000.0,500000.0,0,7782.924528301886,True,False,True,0,1.0333333333333334
